sample,fastq_1,fastq_2,batch,run
TB-T3.DNA.MTB-031583,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031583_S156_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031583_S156_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031584,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031584_S209_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031584_S209_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031585,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031585_S186_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031585_S186_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031586,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031586_S208_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031586_S208_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031588,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031588_S182_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031588_S182_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031589,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031589_S183_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031589_S183_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031590,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031590_S210_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031590_S210_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031591,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031591_S185_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031591_S185_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031592,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031592_S184_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031592_S184_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031593,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031593_S181_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031593_S181_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031594,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031594_S207_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031594_S207_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031595,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031595_S187_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031595_S187_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031597,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031597_S189_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031597_S189_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031600,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031600_S65_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031600_S65_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031602,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031602_S128_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031602_S128_R2_001.fastq.gz,IS-1000,Walter-TB
